"","day","month","year","plot","subplot","focal","fruit","BEMA","CHFU","CHMI","CETE","HOMA","LEMA","PAIN","PLCO","POMA","POMO","PUPA","SASO","SCLA","SPRU","MESU","MEEL","SOAS","SUSP","seed","comments","observers"
"1",10,6,2015,6,"A1","PAIN",3,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"2",10,6,2015,6,"A2","PAIN",5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"3",10,6,2015,6,"A3","PAIN",5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"4",10,6,2015,6,"A4","PAIN",3,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"5",10,6,2015,6,"A5","PAIN",3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"6",10,6,2015,6,"A6","PAIN",7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"7",10,6,2015,6,"B1","PAIN",7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"8",10,6,2015,6,"B2","PAIN",8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"9",10,6,2015,6,"B3","PAIN",3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,69,"0","0"
"10",10,6,2015,6,"B4","PAIN",3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"11",10,6,2015,6,"B5","PAIN",2,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,46,"0","0"
"12",10,6,2015,6,"B6","PAIN",10,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,230,"0","0"
"13",10,6,2015,6,"C1","PAIN",7,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,161,"0","0"
"14",10,6,2015,6,"C2","PAIN",9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,207,"0","0"
"15",10,6,2015,6,"C3","PAIN",4,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,92,"0","0"
"16",10,6,2015,6,"C4","PAIN",7,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"17",10,6,2015,6,"C5","PAIN",6,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,138,"0","0"
"18",10,6,2015,6,"C6","PAIN",10,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,230,"0","0"
"19",10,6,2015,6,"D1","PAIN",8,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,184,"0","0"
"20",10,6,2015,6,"D2","PAIN",11,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,253,"0","0"
"21",10,6,2015,6,"D3","PAIN",11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,253,"0","0"
"22",10,6,2015,6,"D4","PAIN",9,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,207,"0","0"
"23",10,6,2015,6,"D5","PAIN",7,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"24",10,6,2015,6,"D6","PAIN",8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"25",10,6,2015,6,"E1","PAIN",34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,782,"0","0"
"26",10,6,2015,6,"E2","PAIN",4,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"27",10,6,2015,6,"E3","PAIN",17,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,391,"0","0"
"28",10,6,2015,6,"E4","PAIN",14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,322,"0","0"
"29",10,6,2015,6,"E5","PAIN",12,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,276,"0","0"
"30",10,6,2015,6,"E6","PAIN",7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,161,"0","0"
"31",10,6,2015,6,"F1","PAIN",9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,207,"0","0"
"32",10,6,2015,6,"F2","PAIN",10,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,230,"0","0"
"33",10,6,2015,6,"F3","PAIN",6,0,0,0,0,0,0,0,1,8,0,0,3,0,0,0,0,0,0,138,"0","0"
"34",10,6,2015,6,"F4","PAIN",7,0,3,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,161,"0","0"
"35",10,6,2015,6,"F5","PAIN",24,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,552,"0","0"
"36",10,6,2015,6,"F6","PAIN",12,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,276,"0","0"
"37",10,6,2015,5,"A1","PUPA",7,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,476,"0","0"
"38",10,6,2015,5,"A1","PUPA",14,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,952,"0","0"
"39",10,6,2015,5,"A1","PUPA",26,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1000,"0","0"
"40",10,6,2015,5,"A1","PAIN",5,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"41",10,6,2015,5,"A2","PAIN",7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"42",10,6,2015,5,"A3","PAIN",4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"43",10,6,2015,5,"A3","PUPA",3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204,"0","0"
"44",10,6,2015,5,"A4","PAIN",9,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,207,"0","0"
"45",10,6,2015,5,"A5","PAIN",2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"46",10,6,2015,5,"A6","PAIN",6,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,138,"0","0"
"47",10,6,2015,5,"A6","PUPA",3,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,204,"0","0"
"48",10,6,2015,5,"B1","PAIN",6,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,138,"0","0"
"49",10,6,2015,5,"B1","PUPA",4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,272,"0","0"
"50",10,6,2015,5,"B1","PUPA",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136,"0","0"
"51",10,6,2015,5,"B2","PAIN",11,0,0,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,253,"0","0"
"52",10,6,2015,5,"B2","PUPA",15,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1000,"0","0"
"53",10,6,2015,5,"B3","PAIN",15,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,345,"0","0"
