"year";"plot";"sp";"lambda"
2015;1;"BEMA";38,3721675536021
2015;2;"BEMA";75,2826449335655
2015;3;"BEMA";101,441789200401
2015;4;"BEMA";34,0481959592255
2015;5;"BEMA";74,278483101121
2015;6;"BEMA";61,1242538614701
2015;7;"BEMA";NA
2015;8;"BEMA";NA
2015;9;"BEMA";NA
2015;1;"CETE";214,672588685716
2015;2;"CETE";271,079266804087
2015;3;"CETE";99,4081905583298
2015;4;"CETE";NA
2015;5;"CETE";NA
2015;6;"CETE";NA
2015;7;"CETE";NA
2015;8;"CETE";NA
2015;9;"CETE";NA
2015;1;"CHFU";277,449053959957
2015;2;"CHFU";229,629463268602
2015;3;"CHFU";288,713039781858
2015;4;"CHFU";219,57019033798
2015;5;"CHFU";141,09646977806
2015;6;"CHFU";198,395910296377
2015;7;"CHFU";NA
2015;8;"CHFU";NA
2015;9;"CHFU";NA
2015;1;"CHMI";49,3469633698952
2015;2;"CHMI";193,297883068671
2015;3;"CHMI";152,693002386799
2015;4;"CHMI";NA
2015;5;"CHMI";NA
2015;6;"CHMI";NA
2015;7;"CHMI";NA
2015;8;"CHMI";NA
2015;9;"CHMI";NA
2015;1;"HOMA";129,528354994005
2015;2;"HOMA";173,868209856435
2015;3;"HOMA";124,865643755311
2015;4;"HOMA";NA
2015;5;"HOMA";NA
2015;6;"HOMA";157,366386199332
2015;7;"HOMA";151,382268700553
2015;8;"HOMA";200,648133802455
2015;9;"HOMA";NA
2015;1;"LEMA";233,753897716667
2015;2;"LEMA";246,199605267238
2015;3;"LEMA";197,913003479266
2015;4;"LEMA";189,577374117943
2015;5;"LEMA";137,809025716325
2015;6;"LEMA";210,137079993786
2015;7;"LEMA";NA
2015;8;"LEMA";NA
2015;9;"LEMA";NA
2015;1;"LYTR";NA
2015;2;"LYTR";NA
2015;3;"LYTR";NA
2015;4;"LYTR";NA
2015;5;"LYTR";NA
2015;6;"LYTR";NA
2015;7;"LYTR";NA
2015;8;"LYTR";NA
2015;9;"LYTR";NA
2015;1;"MEEL";9,84611775284655
2015;2;"MEEL";38,7712380305595
2015;3;"MEEL";NA
2015;4;"MEEL";NA
2015;5;"MEEL";NA
2015;6;"MEEL";62,0273205289087
2015;7;"MEEL";NA
2015;8;"MEEL";NA
2015;9;"MEEL";NA
2015;1;"MESU";100,299424346991
2015;2;"MESU";101,047781542782
2015;3;"MESU";160,361160513787
2015;4;"MESU";NA
2015;5;"MESU";NA
2015;6;"MESU";50,7506844441164
2015;7;"MESU";NA
2015;8;"MESU";NA
2015;9;"MESU";NA
2015;1;"PAIN";169,913958736274
2015;2;"PAIN";165,625956974144
2015;3;"PAIN";141,212382677414
2015;4;"PAIN";178,201028440324
2015;5;"PAIN";131,16491278095
2015;6;"PAIN";112,82372386335
2015;7;"PAIN";NA
2015;8;"PAIN";NA
2015;9;"PAIN";NA
2015;1;"PLCO";227,08805537798
2015;2;"PLCO";109,333051851297
2015;3;"PLCO";168,085314656386
2015;4;"PLCO";110,67715124338
2015;5;"PLCO";54,3013726265561
2015;6;"PLCO";95,8658888031852
2015;7;"PLCO";NA
2015;8;"PLCO";NA
2015;9;"PLCO";NA
2015;1;"POMA";180,548485717275
2015;2;"POMA";189,469889438301
2015;3;"POMA";153,467547792867
2015;4;"POMA";NA
2015;5;"POMA";NA
2015;6;"POMA";320,938225870064
2015;7;"POMA";284,405056775017
2015;8;"POMA";325,862698730689
2015;9;"POMA";NA
2015;1;"POMO";57,7344619561562
2015;2;"POMO";209,593072117768
2015;3;"POMO";218,407781155241
2015;4;"POMO";NA
2015;5;"POMO";NA
2015;6;"POMO";NA
2015;7;"POMO";NA
2015;8;"POMO";239,940904534772
2015;9;"POMO";NA
2015;1;"PUPA";312,414383398527
2015;2;"PUPA";271,67707238687
2015;3;"PUPA";98,260624512731
2015;4;"PUPA";132,767338779057
2015;5;"PUPA";183,365044569981
2015;6;"PUPA";NA
2015;7;"PUPA";272,142706446857
2015;8;"PUPA";305,70704774941
2015;9;"PUPA";NA
2015;1;"SASO";178,259666803476
2015;2;"SASO";98,4807271478666
2015;3;"SASO";172,462633129487
2015;4;"SASO";200,551140840974
2015;5;"SASO";248,369653467615
2015;6;"SASO";222,581002150434
2015;7;"SASO";94,9940772725557
2015;8;"SASO";139,723648975441
2015;9;"SASO";NA
2015;1;"SCLA";87,9138909698173
2015;2;"SCLA";204,998297183569
2015;3;"SCLA";154,871446432538
2015;4;"SCLA";NA
2015;5;"SCLA";NA
2015;6;"SCLA";34,1895887343482
2015;7;"SCLA";NA
2015;8;"SCLA";NA
2015;9;"SCLA";NA
2015;1;"SOAS";89,5584839839776
2015;2;"SOAS";138,098172513098
2015;3;"SOAS";61,2705439058626
2015;4;"SOAS";NA
2015;5;"SOAS";141,782463695952
2015;6;"SOAS";NA
2015;7;"SOAS";NA
2015;8;"SOAS";NA
2015;9;"SOAS";NA
2015;1;"SPRU";58,5801716054655
2015;2;"SPRU";124,306504069791
2015;3;"SPRU";NA
2015;4;"SPRU";NA
2015;5;"SPRU";NA
2015;6;"SPRU";137,465422799309
2015;7;"SPRU";NA
2015;8;"SPRU";130,754236869524
2015;9;"SPRU";NA
2016;1;"BEMA";57,7914974053856
2016;2;"BEMA";22,2804331264476
2016;3;"BEMA";64,2486361451416
2016;4;"BEMA";27,8182648533695
2016;5;"BEMA";10,2709315858702
2016;6;"BEMA";108,901948802699
2016;7;"BEMA";87,4037875758823
2016;8;"BEMA";89,1673525792438
2016;9;"BEMA";81,3732918525607
2016;1;"CETE";NA
2016;2;"CETE";NA
2016;3;"CETE";NA
2016;4;"CETE";NA
2016;5;"CETE";39,7953777300268
2016;6;"CETE";NA
2016;7;"CETE";NA
2016;8;"CETE";NA
2016;9;"CETE";204,058576791303
2016;1;"CHFU";NA
2016;1;"CHFU";47,3610735576879
2016;2;"CHFU";NA
2016;2;"CHFU";15,5680767574992
2016;3;"CHFU";NA
2016;3;"CHFU";138,512862780397
2016;4;"CHFU";NA
2016;5;"CHFU";NA
2016;5;"CHFU";NA
2016;6;"CHFU";NA
2016;7;"CHFU";NA
2016;7;"CHFU";282,790400090082
2016;8;"CHFU";NA
2016;8;"CHFU";242,110757534899
2016;9;"CHFU";NA
2016;9;"CHFU";194,297583874378
2016;1;"CHMI";NA
2016;2;"CHMI";NA
2016;3;"CHMI";10,5027788681665
2016;4;"CHMI";NA
2016;5;"CHMI";NA
2016;6;"CHMI";NA
2016;7;"CHMI";68,7140289373764
2016;8;"CHMI";NA
2016;9;"CHMI";NA
2016;1;"HOMA";15,7086174349199
2016;2;"HOMA";16,0818487449272
2016;3;"HOMA";12,1738371667702
2016;4;"HOMA";15,3565117429028
2016;5;"HOMA";12,6782057297199
2016;6;"HOMA";24,2851275848087
2016;7;"HOMA";65,5659071980121
2016;8;"HOMA";25,9074344499929
2016;9;"HOMA";35,182582415377
2016;1;"LEMA";58,6480687776223
2016;2;"LEMA";43,3171142757702
2016;3;"LEMA";74,5100315157351
2016;4;"LEMA";39,299399980679
2016;5;"LEMA";29,1988085103509
2016;6;"LEMA";99,2004921810081
2016;7;"LEMA";106,565276783054
2016;8;"LEMA";136,739200078244
2016;9;"LEMA";133,973077485615
2016;1;"LYTR";NA
2016;2;"LYTR";NA
2016;3;"LYTR";NA
2016;4;"LYTR";NA
2016;5;"LYTR";NA
2016;6;"LYTR";NA
2016;7;"LYTR";NA
2016;8;"LYTR";NA
2016;9;"LYTR";NA
2016;1;"MEEL";9,91168050777413
2016;2;"MEEL";NA
2016;3;"MEEL";NA
2016;4;"MEEL";13,2925892025247
2016;5;"MEEL";45,9925034332966
2016;6;"MEEL";4,71927066285981
2016;7;"MEEL";NA
2016;8;"MEEL";9,72958193567873
2016;9;"MEEL";NA
2016;1;"MESU";40,2212853697661
2016;2;"MESU";2,80871815597589
2016;3;"MESU";12,0320626937516
2016;4;"MESU";40,28406518242
2016;5;"MESU";42,2911214972587
2016;6;"MESU";34,7656546279832
2016;7;"MESU";120,595053722672
2016;8;"MESU";122,422997670286
2016;9;"MESU";142,4377524509
2016;1;"PAIN";5,98865197354689
2016;2;"PAIN";12,9353219449691
2016;3;"PAIN";8,46211360770224
2016;4;"PAIN";21,8962844641588
2016;5;"PAIN";9,33055959337239
2016;6;"PAIN";28,4624528045234
2016;7;"PAIN";24,9288040459069
2016;8;"PAIN";52,5924108077162
2016;9;"PAIN";54,9619602293568
2016;1;"PLCO";9,3318142411225
2016;2;"PLCO";17,4117987987443
2016;3;"PLCO";24,3638034033532
2016;4;"PLCO";35,110436020483
2016;5;"PLCO";25,5292877393484
2016;6;"PLCO";32,5222249699473
2016;7;"PLCO";50,8442625887805
2016;8;"PLCO";33,1433804769167
2016;9;"PLCO";49,706448055166
2016;1;"POMA";NA
2016;2;"POMA";NA
2016;3;"POMA";NA
2016;4;"POMA";NA
2016;5;"POMA";NA
2016;6;"POMA";NA
2016;7;"POMA";58,1620447232812
2016;8;"POMA";58,771572176006
2016;9;"POMA";59,8525178029192
2016;1;"POMO";NA
2016;2;"POMO";NA
2016;3;"POMO";11,0691892092717
2016;4;"POMO";NA
2016;5;"POMO";NA
2016;6;"POMO";NA
2016;7;"POMO";NA
2016;8;"POMO";111,009801990609
2016;9;"POMO";63,7243750052965
2016;1;"PUPA";44,9131250781047
2016;2;"PUPA";51,8079550011732
2016;3;"PUPA";82,1549982289869
2016;4;"PUPA";28,1934225342538
2016;5;"PUPA";25,8037850341076
2016;6;"PUPA";NA
2016;7;"PUPA";278,426371558631
2016;8;"PUPA";325,048739615604
2016;9;"PUPA";NA
2016;1;"SASO";24,2833203819333
2016;2;"SASO";45,8567680765364
2016;3;"SASO";21,5057106317889
2016;4;"SASO";11,5216864151027
2016;5;"SASO";16,5733891622519
2016;6;"SASO";95,4799460194142
2016;7;"SASO";35,8560197340754
2016;8;"SASO";41,5572005722462
2016;9;"SASO";26,2847128839549
2016;1;"SCLA";16,6142296379123
2016;2;"SCLA";26,3669122114023
2016;3;"SCLA";14,9661818688815
2016;4;"SCLA";13,3948666721406
2016;5;"SCLA";9,86181101773125
2016;6;"SCLA";36,1733633933935
2016;7;"SCLA";44,7463844229483
2016;8;"SCLA";30,3536606194698
2016;9;"SCLA";41,3561299965417
2016;1;"SOAS";NA
2016;2;"SOAS";NA
2016;3;"SOAS";NA
2016;4;"SOAS";NA
2016;5;"SOAS";NA
2016;6;"SOAS";42,7794963582944
2016;7;"SOAS";162,269061869735
2016;8;"SOAS";104,603094207851
2016;9;"SOAS";139,790263385105
2016;1;"SPRU";NA
2016;2;"SPRU";NA
2016;3;"SPRU";NA
2016;4;"SPRU";NA
2016;5;"SPRU";NA
2016;6;"SPRU";NA
2016;7;"SPRU";249,859971051875
2016;8;"SPRU";265,646024902995
2016;9;"SPRU";283,228676687829
2017;1;"BEMA";49,9249850347878
2017;2;"BEMA";27,9368859028037
2017;3;"BEMA";34,9780181307956
2017;4;"BEMA";NA
2017;5;"BEMA";87,9550216031837
2017;6;"BEMA";NA
2017;7;"BEMA";NA
2017;8;"BEMA";NA
2017;9;"BEMA";NA
2017;1;"CETE";110,152543910361
2017;2;"CETE";172,13212731102
2017;3;"CETE";175,974053542795
2017;4;"CETE";NA
2017;5;"CETE";89,6082496130241
2017;6;"CETE";NA
2017;7;"CETE";NA
2017;8;"CETE";NA
2017;9;"CETE";NA
2017;1;"CHFU";199,994430615094
2017;2;"CHFU";137,875051583843
2017;3;"CHFU";171,702314874636
2017;4;"CHFU";119,623439734946
2017;5;"CHFU";130,866056849447
2017;6;"CHFU";158,468914621016
2017;7;"CHFU";NA
2017;8;"CHFU";NA
2017;9;"CHFU";NA
2017;1;"CHMI";43,251921397343
2017;2;"CHMI";12,4388815732356
2017;3;"CHMI";152,59714535058
2017;4;"CHMI";NA
2017;5;"CHMI";NA
2017;6;"CHMI";NA
2017;7;"CHMI";NA
2017;8;"CHMI";NA
2017;9;"CHMI";NA
2017;1;"HOMA";12,8264500007613
2017;2;"HOMA";12,8645355842878
2017;3;"HOMA";27,9110545718036
2017;4;"HOMA";17,7510031392142
2017;5;"HOMA";16,577448769998
2017;6;"HOMA";13,7547577236473
2017;7;"HOMA";NA
2017;8;"HOMA";NA
2017;9;"HOMA";NA
2017;1;"LEMA";132,958815719225
2017;2;"LEMA";105,628667475093
2017;3;"LEMA";141,088252518651
2017;4;"LEMA";105,645026334053
2017;5;"LEMA";119,217117742833
2017;6;"LEMA";99,6096057150506
2017;7;"LEMA";NA
2017;8;"LEMA";NA
2017;9;"LEMA";NA
2017;1;"LYTR";NA
2017;2;"LYTR";NA
2017;3;"LYTR";NA
2017;4;"LYTR";39,0515298866368
2017;5;"LYTR";NA
2017;6;"LYTR";133,31709071918
2017;7;"LYTR";246,951715270621
2017;8;"LYTR";273,559599011404
2017;9;"LYTR";NA
2017;1;"MEEL";NA
2017;2;"MEEL";NA
2017;3;"MEEL";NA
2017;4;"MEEL";NA
2017;5;"MEEL";NA
2017;6;"MEEL";NA
2017;7;"MEEL";NA
2017;8;"MEEL";NA
2017;9;"MEEL";NA
2017;1;"MESU";NA
2017;2;"MESU";131,150364368472
2017;3;"MESU";144,899269118938
2017;4;"MESU";NA
2017;5;"MESU";NA
2017;6;"MESU";NA
2017;7;"MESU";NA
2017;8;"MESU";NA
2017;9;"MESU";NA
2017;1;"PAIN";25,5907328640246
2017;2;"PAIN";45,8462818468722
2017;3;"PAIN";24,7753967919963
2017;4;"PAIN";38,1749230386836
2017;5;"PAIN";16,9444644227682
2017;6;"PAIN";22,97374004111
2017;7;"PAIN";NA
2017;8;"PAIN";NA
2017;9;"PAIN";NA
2017;1;"PLCO";NA
2017;2;"PLCO";NA
2017;3;"PLCO";19,8225754857832
2017;4;"PLCO";33,8397308024863
2017;5;"PLCO";37,5371322349416
2017;6;"PLCO";38,7461022176365
2017;7;"PLCO";NA
2017;8;"PLCO";NA
2017;9;"PLCO";NA
2017;1;"POMA";45,3665386878753
2017;2;"POMA";52,5571453287967
2017;3;"POMA";77,0715846728873
2017;4;"POMA";19,5139198655908
2017;5;"POMA";29,4268794566925
2017;6;"POMA";47,0077246213569
2017;7;"POMA";NA
2017;8;"POMA";151,457463817339
2017;9;"POMA";NA
2017;1;"POMO";NA
2017;2;"POMO";30,7066715975286
2017;3;"POMO";NA
2017;4;"POMO";18,7289662190685
2017;5;"POMO";NA
2017;6;"POMO";NA
2017;7;"POMO";NA
2017;8;"POMO";NA
2017;9;"POMO";NA
2017;1;"PUPA";38,6457989641533
2017;2;"PUPA";35,0225833375527
2017;3;"PUPA";179,828500913991
2017;4;"PUPA";55,1446791022976
2017;5;"PUPA";43,0797111176486
2017;6;"PUPA";77,2395995529068
2017;7;"PUPA";NA
2017;8;"PUPA";248,242565936698
2017;9;"PUPA";NA
2017;1;"SASO";26,2003879957773
2017;2;"SASO";30,1829655678553
2017;3;"SASO";82,0658005975443
2017;4;"SASO";11,99568534267
2017;5;"SASO";89,3099325643654
2017;6;"SASO";7,26728281714849
2017;7;"SASO";NA
2017;8;"SASO";NA
2017;9;"SASO";NA
2017;1;"SCLA";NA
2017;2;"SCLA";38,8780903052791
2017;3;"SCLA";22,4480024905244
2017;4;"SCLA";NA
2017;5;"SCLA";NA
2017;6;"SCLA";NA
2017;7;"SCLA";NA
2017;8;"SCLA";NA
2017;9;"SCLA";NA
2017;1;"SOAS";NA
2017;2;"SOAS";NA
2017;3;"SOAS";NA
2017;4;"SOAS";NA
2017;5;"SOAS";NA
2017;6;"SOAS";NA
2017;7;"SOAS";NA
2017;8;"SOAS";NA
2017;9;"SOAS";NA
2017;1;"SPRU";NA
2017;2;"SPRU";NA
2017;3;"SPRU";NA
2017;4;"SPRU";160,251154291686
2017;5;"SPRU";129,8942466145
2017;6;"SPRU";NA
2017;7;"SPRU";NA
2017;8;"SPRU";NA
2017;9;"SPRU";NA
2018;1;"BEMA";NA
2018;2;"BEMA";1,70505281312117
2018;3;"BEMA";7,24428384312269
2018;4;"BEMA";NA
2018;5;"BEMA";4,12686805474764
2018;6;"BEMA";NA
2018;7;"BEMA";NA
2018;8;"BEMA";NA
2018;9;"BEMA";NA
2018;1;"CETE";59,7345262553138
2018;2;"CETE";89,0741945562298
2018;3;"CETE";67,8905946400044
2018;4;"CETE";NA
2018;5;"CETE";NA
2018;6;"CETE";NA
