"year";"plot";"sp";"lambda"
2015;1;"BEMA";38,3726240181832
2015;2;"BEMA";78,337633071974
2015;3;"BEMA";104,114276970007
2015;4;"BEMA";34,0496613035849
2015;5;"BEMA";77,5726530998611
2015;6;"BEMA";61,5375005752066
2015;7;"BEMA";NA
2015;8;"BEMA";NA
2015;9;"BEMA";NA
2015;1;"CETE";446,273832358182
2015;2;"CETE";1000
2015;3;"CETE";224,566494618668
2015;4;"CETE";NA
2015;5;"CETE";NA
2015;6;"CETE";NA
2015;7;"CETE";NA
2015;8;"CETE";NA
2015;9;"CETE";NA
2015;1;"CHFU";620,788756508017
2015;2;"CHFU";440,568109762214
2015;3;"CHFU";999,227290711496
2015;4;"CHFU";490,785520966136
2015;5;"CHFU";178,527885297208
2015;6;"CHFU";575,139405529535
2015;7;"CHFU";NA
2015;8;"CHFU";NA
2015;9;"CHFU";NA
2015;1;"CHMI";49,6468517121892
2015;2;"CHMI";1000
2015;3;"CHMI";191,313750172044
2015;4;"CHMI";NA
2015;5;"CHMI";NA
2015;6;"CHMI";NA
2015;7;"CHMI";NA
2015;8;"CHMI";NA
2015;9;"CHMI";NA
2015;1;"HOMA";174,735006967795
2015;2;"HOMA";320,813792769076
2015;3;"HOMA";151,799343809035
2015;4;"HOMA";NA
2015;5;"HOMA";NA
2015;6;"HOMA";245,39719059076
2015;7;"HOMA";273,881107340121
2015;8;"HOMA";361,066509662486
2015;9;"HOMA";NA
2015;1;"LEMA";485,241163521855
2015;2;"LEMA";735,511745042472
2015;3;"LEMA";883,116488972453
2015;4;"LEMA";1000
2015;5;"LEMA";322,260317630236
2015;6;"LEMA";424,510221804791
2015;7;"LEMA";NA
2015;8;"LEMA";NA
2015;9;"LEMA";NA
2015;1;"LYTR";NA
2015;2;"LYTR";NA
2015;3;"LYTR";NA
2015;4;"LYTR";NA
2015;5;"LYTR";NA
2015;6;"LYTR";NA
2015;7;"LYTR";NA
2015;8;"LYTR";NA
2015;9;"LYTR";NA
2015;1;"MEEL";10,1454197348042
2015;2;"MEEL";38,7726104465122
2015;3;"MEEL";NA
2015;4;"MEEL";NA
2015;5;"MEEL";NA
2015;6;"MEEL";87,1781535362561
2015;7;"MEEL";NA
2015;8;"MEEL";NA
2015;9;"MEEL";NA
2015;1;"MESU";144,287338167458
2015;2;"MESU";104,297982596663
2015;3;"MESU";230,987910599985
2015;4;"MESU";NA
2015;5;"MESU";NA
2015;6;"MESU";241,448142675308
2015;7;"MESU";NA
2015;8;"MESU";NA
2015;9;"MESU";NA
2015;1;"PAIN";278,498704392754
2015;2;"PAIN";226,373093917225
2015;3;"PAIN";174,163501074385
2015;4;"PAIN";264,148504208686
2015;5;"PAIN";169,420010865681
2015;6;"PAIN";290,512959008714
2015;7;"PAIN";NA
2015;8;"PAIN";NA
2015;9;"PAIN";NA
2015;1;"PLCO";212,034549841094
2015;2;"PLCO";112,940845620959
2015;3;"PLCO";194,527827528719
2015;4;"PLCO";111,184752553834
2015;5;"PLCO";56,3104081939203
2015;6;"PLCO";132,069543358237
2015;7;"PLCO";NA
2015;8;"PLCO";NA
2015;9;"PLCO";NA
2015;1;"POMA";410,669554825602
2015;2;"POMA";303,008782172833
2015;3;"POMA";436,450141454237
2015;4;"POMA";NA
2015;5;"POMA";NA
2015;6;"POMA";1000
2015;7;"POMA";1000
2015;8;"POMA";1000
2015;9;"POMA";NA
2015;1;"POMO";61,9522736929146
2015;2;"POMO";343,519984834309
2015;3;"POMO";409,201854317093
2015;4;"POMO";NA
2015;5;"POMO";NA
2015;6;"POMO";NA
2015;7;"POMO";NA
2015;8;"POMO";1000
2015;9;"POMO";NA
2015;1;"PUPA";1000
2015;2;"PUPA";428,413177186592
2015;3;"PUPA";145,461913339899
2015;4;"PUPA";215,677470642015
2015;5;"PUPA";309,348192771473
2015;6;"PUPA";NA
2015;7;"PUPA";1000
2015;8;"PUPA";1000
2015;9;"PUPA";NA
2015;1;"SASO";483,94129144713
