"year";"plot";"sp";"lambda"
2016;1;"BEMA";72,4238695275865
2017;1;"BEMA";65,5926884382101
2018;1;"BEMA";45,131088099496
2019;1;"BEMA";NA
2016;2;"BEMA";108,185759004891
2017;2;"BEMA";40,0459356405947
2018;2;"BEMA";43,8851718461359
2019;2;"BEMA";52,8765697310158
2016;3;"BEMA";79,7842347801382
2017;3;"BEMA";88,9293759636507
2018;3;"BEMA";79,2159461677708
2019;3;"BEMA";NA
2016;4;"BEMA";80,540446152491
2017;4;"BEMA";NA
2018;4;"BEMA";47,8233483504577
2019;4;"BEMA";23,3879036458125
2016;5;"BEMA";46,1914185897156
2017;5;"BEMA";522,337694242817
2018;5;"BEMA";71,1187527120368
2019;5;"BEMA";NA
2016;6;"BEMA";89,1698674317761
2017;6;"BEMA";NA
2018;6;"BEMA";NA
2019;6;"BEMA";NA
2016;7;"BEMA";85,2907646081775
2017;7;"BEMA";NA
2018;7;"BEMA";NA
2019;7;"BEMA";130,182759732005
2016;8;"BEMA";73,313435864572
2017;8;"BEMA";NA
2018;8;"BEMA";NA
2019;8;"BEMA";174,644945881114
2016;9;"BEMA";83,5249157425581
2017;9;"BEMA";NA
2018;9;"BEMA";NA
2019;9;"BEMA";30,7567303716119
2016;1;"CETE";NA
2017;1;"CETE";4091,0210134265
2018;1;"CETE";2025,94184323893
2019;1;"CETE";NA
2016;2;"CETE";NA
2017;2;"CETE";9372,26701091906
2018;2;"CETE";2733,8910189353
2019;2;"CETE";3303,44602760667
2016;3;"CETE";NA
2017;3;"CETE";4609,03687553949
2018;3;"CETE";1893,9571076496
2019;3;"CETE";NA
2016;4;"CETE";NA
2017;4;"CETE";NA
2018;4;"CETE";NA
2019;4;"CETE";4048,06925906567
2016;5;"CETE";1053,76292066299
2017;5;"CETE";1716,86126543183
2018;5;"CETE";NA
2019;5;"CETE";2737,68858890497
2016;6;"CETE";NA
2017;6;"CETE";NA
2018;6;"CETE";NA
2019;6;"CETE";2111,28807641398
2016;7;"CETE";NA
2017;7;"CETE";NA
2018;7;"CETE";NA
2019;7;"CETE";3512,88209827724
2016;8;"CETE";NA
2017;8;"CETE";NA
2018;8;"CETE";NA
2019;8;"CETE";3536,83304926769
2016;9;"CETE";1774,73742317055
2017;9;"CETE";NA
2018;9;"CETE";NA
2019;9;"CETE";NA
2016;1;"CHFU";NA
2017;1;"CHFU";367,587447188701
2018;1;"CHFU";NA
2019;1;"CHFU";292,736724598805
2016;2;"CHFU";NA
2017;2;"CHFU";308,395946567222
2018;2;"CHFU";NA
2019;2;"CHFU";267,92359884949
2016;3;"CHFU";NA
2017;3;"CHFU";486,726242529584
2018;3;"CHFU";NA
2019;3;"CHFU";324,336044156806
2016;4;"CHFU";NA
2017;4;"CHFU";165,838741408042
2018;4;"CHFU";NA
2019;4;"CHFU";481,880497715392
2016;5;"CHFU";NA
2017;5;"CHFU";229,239083555157
2018;5;"CHFU";NA
2019;5;"CHFU";537,106232808594
2016;6;"CHFU";NA
2017;6;"CHFU";294,422104599075
2018;6;"CHFU";NA
2019;6;"CHFU";477,015266464873
2016;7;"CHFU";NA
2017;7;"CHFU";NA
2018;7;"CHFU";NA
2019;7;"CHFU";619,728905443274
2016;8;"CHFU";NA
2017;8;"CHFU";NA
2018;8;"CHFU";NA
2019;8;"CHFU";656,063173681859
2016;9;"CHFU";NA
2017;9;"CHFU";NA
2018;9;"CHFU";NA
2019;9;"CHFU";300,718979369925
2016;1;"CHMI";NA
2017;1;"CHMI";284,375259584312
2018;1;"CHMI";NA
2019;1;"CHMI";NA
2016;2;"CHMI";NA
2017;2;"CHMI";194,537366768299
2018;2;"CHMI";NA
2019;2;"CHMI";396,627546838651
2016;3;"CHMI";227,973832642226
2017;3;"CHMI";364,057162020011
2018;3;"CHMI";224,958834038733
2019;3;"CHMI";NA
2016;4;"CHMI";NA
2017;4;"CHMI";NA
2018;4;"CHMI";NA
2019;4;"CHMI";NA
2016;5;"CHMI";NA
2017;5;"CHMI";NA
2018;5;"CHMI";NA
2019;5;"CHMI";NA
2016;6;"CHMI";NA
2017;6;"CHMI";NA
2018;6;"CHMI";NA
2019;6;"CHMI";NA
2016;7;"CHMI";302,282331453489
2017;7;"CHMI";NA
2018;7;"CHMI";NA
2019;7;"CHMI";385,082963327208
2016;8;"CHMI";296,132191534924
2017;8;"CHMI";NA
2018;8;"CHMI";NA
2019;8;"CHMI";NA
2016;9;"CHMI";NA
2017;9;"CHMI";NA
2018;9;"CHMI";NA
2019;9;"CHMI";NA
2016;1;"HOMA";17,518590524397
2017;1;"HOMA";14,4130174020251
2018;1;"HOMA";25,0358750019789
2019;1;"HOMA";13,919434132249
2016;2;"HOMA";5,73246076374279
2017;2;"HOMA";17,0398877410596
2018;2;"HOMA";14,6200137774937
2019;2;"HOMA";13,2320057601792
2016;3;"HOMA";14,5615811228405
2017;3;"HOMA";26,1996685787827
2018;3;"HOMA";16,9186560124205
2019;3;"HOMA";13,9319238155072
2016;4;"HOMA";14,5862386781738
2017;4;"HOMA";16,257306335262
2018;4;"HOMA";17,9942711232336
2019;4;"HOMA";13,68332188764
2016;5;"HOMA";13,378320915334
2017;5;"HOMA";16,7856486403196
2018;5;"HOMA";17,0394651487549
2019;5;"HOMA";13,5956853973298
2016;6;"HOMA";16,4275639001355
2017;6;"HOMA";15,994694995883
2018;6;"HOMA";27,2003794224723
2019;6;"HOMA";13,8846299209227
2016;7;"HOMA";27,1973096043573
2017;7;"HOMA";NA
2018;7;"HOMA";NA
2019;7;"HOMA";14,4846864555194
2016;8;"HOMA";26,3986625090009
2017;8;"HOMA";NA
2018;8;"HOMA";NA
2019;8;"HOMA";13,3153456177207
2016;9;"HOMA";28,7664516855059
2017;9;"HOMA";NA
2018;9;"HOMA";NA
2019;9;"HOMA";12,8442723623897
2016;1;"LEMA";74,6729531483127
2017;1;"LEMA";148,302211644177
2018;1;"LEMA";99,459599800775
2019;1;"LEMA";149,490374544988
2016;2;"LEMA";77,1384367520405
2017;2;"LEMA";112,211396879477
