"year";"plot";"sp";"lambda"
2015;1;"BEMA";32,721288790193
2015;2;"BEMA";33,4006262198296
2015;3;"BEMA";45,9009413645325
2015;4;"BEMA";24,4895189001064
2015;5;"BEMA";20,195288237163
2015;6;"BEMA";29,9782953882199
2015;7;"BEMA";NA
2015;8;"BEMA";NA
2015;9;"BEMA";NA
2015;1;"CETE";28,5928718667274
2015;2;"CETE";30,45390459065
2015;3;"CETE";23,1765648181698
2015;4;"CETE";NA
2015;5;"CETE";NA
2015;6;"CETE";NA
2015;7;"CETE";NA
2015;8;"CETE";NA
2015;9;"CETE";NA
2015;1;"CHFU";44,0137092585924
2015;2;"CHFU";38,8146084768717
2015;3;"CHFU";54,0317080308682
2015;4;"CHFU";34,3229590200571
2015;5;"CHFU";25,3626244762585
2015;6;"CHFU";25,2800883064546
2015;7;"CHFU";NA
2015;8;"CHFU";NA
2015;9;"CHFU";NA
2015;1;"CHMI";17,1220161369059
2015;2;"CHMI";35,6548667022597
2015;3;"CHMI";21,6747492960231
2015;4;"CHMI";NA
2015;5;"CHMI";NA
2015;6;"CHMI";NA
2015;7;"CHMI";NA
2015;8;"CHMI";NA
2015;9;"CHMI";NA
2015;1;"HOMA";23,0245505911298
2015;2;"HOMA";20,091877902008
2015;3;"HOMA";14,7143002242281
2015;4;"HOMA";NA
2015;5;"HOMA";NA
2015;6;"HOMA";35,5580504054656
2015;7;"HOMA";26,4343568802949
2015;8;"HOMA";40,3905639013912
2015;9;"HOMA";NA
2015;1;"LEMA";31,7530541647586
2015;2;"LEMA";43,9871620539385
2015;3;"LEMA";37,1692422115247
2015;4;"LEMA";39,03200366228
2015;5;"LEMA";20,8321377760856
2015;6;"LEMA";35,801469868306
2015;7;"LEMA";NA
2015;8;"LEMA";NA
2015;9;"LEMA";NA
2015;1;"LYTR";NA
2015;2;"LYTR";NA
2015;3;"LYTR";NA
2015;4;"LYTR";NA
2015;5;"LYTR";NA
2015;6;"LYTR";NA
2015;7;"LYTR";NA
2015;8;"LYTR";NA
2015;9;"LYTR";NA
2015;1;"MEEL";0,377224882631385
2015;2;"MEEL";13,4635666889688
2015;3;"MEEL";NA
2015;4;"MEEL";NA
2015;5;"MEEL";NA
2015;6;"MEEL";20,166986491575
2015;7;"MEEL";NA
2015;8;"MEEL";NA
2015;9;"MEEL";NA
2015;1;"MESU";21,3608816279809
2015;2;"MESU";18,9585753069078
2015;3;"MESU";28,006417874524
2015;4;"MESU";NA
2015;5;"MESU";NA
2015;6;"MESU";14,925151606452
2015;7;"MESU";NA
2015;8;"MESU";NA
2015;9;"MESU";NA
2015;1;"PAIN";32,7986468975723
2015;2;"PAIN";26,1097496860471
2015;3;"PAIN";26,1955525252288
2015;4;"PAIN";28,1105284680608
2015;5;"PAIN";26,8165832896498
2015;6;"PAIN";25,7068637988157
2015;7;"PAIN";NA
2015;8;"PAIN";NA
2015;9;"PAIN";NA
2015;1;"PLCO";37,1324231179994
2015;2;"PLCO";16,9498213927741
2015;3;"PLCO";29,2511891339874
2015;4;"PLCO";24,3439371426452
2015;5;"PLCO";15,062497621194
2015;6;"PLCO";24,5941778527792
2015;7;"PLCO";NA
2015;8;"PLCO";NA
2015;9;"PLCO";NA
2015;1;"POMA";21,3668070458734
2015;2;"POMA";16,6086481390572
2015;3;"POMA";32,9716943899852
2015;4;"POMA";NA
2015;5;"POMA";NA
2015;6;"POMA";37,090721582865
2015;7;"POMA";21,8174219686817
2015;8;"POMA";23,3816356796539
2015;9;"POMA";NA
2015;1;"POMO";21,2787621456645
2015;2;"POMO";35,9692688414156
2015;3;"POMO";42,1411499646141
2015;4;"POMO";NA
2015;5;"POMO";NA
2015;6;"POMO";NA
2015;7;"POMO";NA
2015;8;"POMO";31,6380303740987
